seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,wholesaler_policy,label,shock_profile_counts,financiers,total_initial_capital,total_final_capital,mean_final_capital,return_pct,total_loans,loans_per_wholesaler,total_defaults,default_count_rate,default_amount_to_initial_capital_rate,default_amount_to_issued_rate,avg_capital_utilization,max_capital_utilization,avg_final_utilization,max_final_utilization,simulation_elapsed_seconds
436570,none_default,10000000.0,10000000.0,1.0,100,fl_rl,FedAvg (federated),{'none': 100},3,30000000.0,46336176.91324258,15445392.304414192,54.45392304414194,13281,132.81,0,0.0,0.0,0.0,0.6571901819316074,0.99998153162464,0.0,0.0,215.33697999999276
436570,low_default,10000000.0,10000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 87, 'medium': 10, 'high': 3}",3,30000000.0,45878388.13010125,15292796.043367082,52.927960433670826,11175,111.75,627,0.05610738255033557,0.04424722017353503,0.003406286788374934,0.5590095778612012,0.9999175929743863,0.0,0.0,175.4477184999996
436570,low_default,10000000.0,10000000.0,1.0,100,fl_rl,FedAvg (federated),"{'none': 87, 'medium': 10, 'high': 3}",3,30000000.0,48635613.2488714,16211871.082957134,62.118710829571334,10504,105.04,361,0.03436785986290937,0.024369718939118382,0.0019949877066384692,0.520364034959771,0.9999175929743863,0.0,0.0,160.32279700000072
436570,medium_default,10000000.0,10000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 77, 'medium': 18, 'high': 5}",3,30000000.0,44905606.21024931,14968535.403416438,49.68535403416438,10304,103.04,812,0.07880434782608696,0.06081699104768341,0.005078911312546334,0.5364786644980996,0.9999763759803075,0.0,0.0,160.3528757999884
436570,medium_default,10000000.0,10000000.0,1.0,100,fl_rl,FedAvg (federated),"{'none': 77, 'medium': 18, 'high': 5}",3,30000000.0,46556795.73036051,15518931.910120169,55.189319101201676,9954,99.54,616,0.06188466947960619,0.05062807067985061,0.004381268995859085,0.5228640949228184,0.9999984529562701,0.0,0.0,158.45435140001064
436570,high_default,10000000.0,10000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 64, 'medium': 26, 'high': 10}",3,30000000.0,41295396.75120289,13765132.250400962,37.65132250400963,9545,95.45,1346,0.14101623886851755,0.12464438454962624,0.011217382458027482,0.5323352158689649,0.9998960628667762,0.0,0.0,150.66109199999482
436570,high_default,10000000.0,10000000.0,1.0,100,fl_rl,FedAvg (federated),"{'none': 64, 'medium': 26, 'high': 10}",3,30000000.0,41477423.56688767,13825807.855629222,38.25807855629223,8663,86.63,994,0.1147408518988803,0.09999855983613398,0.009878768803741347,0.48156603594829933,0.9760513625520241,0.0,0.0,135.4314238000079
831197,none_default,1000000.0,1000000.0,1.0,100,rl,Isolated RL (non-federated),{'none': 100},3,3000000.0,7757838.155295587,2585946.0517651956,158.5946051765196,3253,32.53,0,0.0,0.0,0.0,0.9773121437006157,0.9999999561573872,0.0,0.0,35.635293799990905
831197,none_default,1000000.0,1000000.0,1.0,100,fl_rl,FedAvg (federated),{'none': 100},3,3000000.0,8834145.9483445,2944715.3161148336,194.47153161148339,3432,34.32,0,0.0,0.0,0.0,0.9764828632861775,0.9999984539642315,0.0,0.0,38.09918409999227
831197,low_default,1000000.0,1000000.0,1.0,100,rl,Isolated RL (non-federated),"{'none': 87, 'medium': 10, 'high': 3}",3,3000000.0,8001507.4964182265,2667169.165472742,166.71691654727422,3077,30.77,85,0.027624309392265192,0.0446214548685126,0.0014719503282722246,0.974425798272392,0.9999990804318281,0.0,0.0,35.226560600000084
