scaffold_lr,seed,capital_per_financier,default_scenario,borrower_count,elapsed_seconds
1.0,831197,1000000.0,low_default,50,13.393245220184326
1.0,709098,1000000.0,medium_default,50,11.484811305999756
1.0,436570,1000000.0,medium_default,50,11.485578775405884
1.0,831197,1000000.0,medium_default,50,11.514961004257202
1.0,709098,1000000.0,high_default,50,10.650117635726929
1.0,436570,1000000.0,high_default,50,10.773884534835815
1.0,831197,1000000.0,high_default,50,10.751323699951172
1.0,709098,5000000.0,none_default,50,21.16971254348755
1.0,436570,5000000.0,none_default,50,19.871639251708984
1.0,831197,5000000.0,none_default,50,19.827054738998413
1.0,709098,5000000.0,low_default,50,20.17553758621216
1.0,436570,5000000.0,low_default,50,20.48685932159424
1.0,831197,5000000.0,low_default,50,20.897651433944706
1.0,709098,5000000.0,medium_default,50,18.980280876159668
1.0,436570,5000000.0,medium_default,50,19.37900137901306
1.0,831197,5000000.0,medium_default,50,18.921706914901733
1.0,709098,5000000.0,high_default,50,16.686650276184082
1.0,436570,5000000.0,high_default,50,16.789880990982056
1.0,831197,5000000.0,high_default,50,17.03158950805664
1.0,709098,10000000.0,none_default,50,21.52172565460205
1.0,436570,10000000.0,none_default,50,19.168632984161377
1.0,831197,10000000.0,none_default,50,19.240164279937744
1.0,709098,10000000.0,low_default,50,21.076509475708008
1.0,436570,10000000.0,low_default,50,20.7327663898468
1.0,831197,10000000.0,low_default,50,19.81806325912476
1.0,709098,10000000.0,medium_default,50,18.45137596130371
1.0,436570,10000000.0,medium_default,50,18.321800708770752
1.0,831197,10000000.0,medium_default,50,19.51142382621765
1.0,709098,10000000.0,high_default,50,16.369390964508057
1.0,436570,10000000.0,high_default,50,16.122206687927246
1.0,831197,10000000.0,high_default,50,17.041049242019653
