financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,scaffold_lr,scaffold_level,seed,default_scenario,capital_per_financier,borrower_count
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5706684.722532586,5000000.0,5706684.7225317,706684.7225316996,0.0,0.0,6.0,0.0,1179,1179,0,0.0,41388202.93764086,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5590830.296708836,5000000.0,5590830.296707519,590830.2967075193,0.0,0.0,6.0,0.0,984,984,0,0.0,34617401.722961776,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5638628.254421725,5000000.0,5638628.254421122,638628.2544211224,0.0,0.0,6.0,0.0,1079,1079,0,0.0,37671553.77183972,0.0,0.0,0.0,0,2243,0.25,0p25,831197,none_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5671174.841906235,5000000.0,5671174.841905046,671174.8419050463,0.0,0.0,6.0,0.0,1147,1147,0,0.0,39629143.56116716,0.0,0.0,0.0,0,2243,0.25,0p25,831197,none_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5654109.427036554,5000000.0,5654109.427037368,654109.4270373676,0.0,0.0,6.0,0.0,1086,1086,0,0.0,38162837.126087,0.0,0.0,0.0,0,2243,0.25,0p25,831197,none_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5637927.4139983,5000000.0,5637927.413997704,637927.4139977042,0.0,0.0,6.0,0.0,1067,1067,0,0.0,37485679.17251543,0.0,0.0,0.0,0,2243,0.25,0p25,831197,none_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5701317.596806546,5000000.0,5701317.596808299,701317.5968082994,0.0,0.0,6.0,0.0,1166,1166,0,0.0,41067272.173002295,0.0,0.0,0.0,0,2243,0.25,0p25,831197,none_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5646142.908185003,5000000.0,5646142.908186284,646142.9081862839,0.0,0.0,6.0,0.0,1104,1104,0,0.0,38125678.36114637,0.0,0.0,0.0,0,2243,0.25,0p25,831197,none_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5206381.496180343,5000000.0,5206381.496179757,206381.4961797567,0.0,0.0,10.0,0.0,405,405,64,0.1580246913580247,14513989.924746595,114603.55463170164,0.0078960751127641,0.0229207109263403,0,2270,0.25,0p25,709098,low_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5531989.080247534,5000000.0,5531989.08024638,531989.0802463796,0.0,0.0,9.0,0.0,1360,1360,281,0.2066176470588235,47493272.48415505,385710.7397186601,0.0081213763454043,0.077142147943732,0,2270,0.25,0p25,709098,low_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5932937.434426475,5000000.0,5932937.434426459,932937.4344264586,0.0,0.0,6.0,0.0,1674,1674,117,0.0698924731182795,58805156.546650775,212226.44637947623,0.0036089768116017,0.0424452892758952,0,2270,0.25,0p25,709098,low_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5684156.060337355,5000000.0,5684156.06033847,684156.0603384702,0.0,0.0,6.0,0.0,1217,1217,53,0.0435497124075595,42991868.400385045,88041.33990671686,0.0020478602857355,0.0176082679813433,0,2270,0.25,0p25,709098,low_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5465173.240302416,5000000.0,5465173.240301175,465173.24030117504,0.0,0.0,8.0,0.0,998,998,154,0.1543086172344689,35403683.24104738,237073.95480809768,0.0066963076466923,0.0474147909616195,0,2270,0.25,0p25,709098,low_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5558031.997635938,5000000.0,5558031.997635873,558031.997635873,0.0,0.0,9.0,0.0,888,888,32,0.036036036036036,31410447.03566889,52490.56605858683,0.0016711180837057,0.0104981132117173,0,2270,0.25,0p25,709098,low_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5446353.32098475,5000000.0,5446353.320986322,446353.3209863221,0.0,0.0,6.0,0.0,958,958,123,0.1283924843423799,33731857.144891426,201005.3013091888,0.0059589159424514,0.0402010602618377,0,2263,0.25,0p25,436570,low_default,5000000.0,50
