financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,non_iid_level,non_iid_tag,seed,default_scenario,capital_per_financier
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5224446.678030535,5000000.0,5224446.678031468,224446.67803146783,0.0,0.0,6.0,0.0,814,814,160,0.19656019656019655,28469066.170251872,334422.8170329835,0.011746883969886983,0.06688456340659671,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5150386.450433718,5000000.0,5150386.450431961,150386.45043196063,0.0,0.0,7.0,0.0,552,552,121,0.21920289855072464,19484610.17372844,221397.04537201443,0.011362662295934937,0.044279409074402885,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5241325.693898817,5000000.0,5241325.693898606,241325.6938986061,0.0,0.0,7.0,0.0,755,755,139,0.18410596026490067,26381777.902742933,272195.32229998533,0.010317550367660588,0.054439064459997064,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5028271.590398491,5000000.0,5028271.5904001715,28271.590400171466,0.0,0.0,11.0,0.0,445,445,167,0.3752808988764045,15625007.162961945,301917.6038851414,0.019322717790543946,0.06038352077702828,0,2260,0.0,0p00,709098,medium_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5218481.345051102,5000000.0,5218481.3450499745,218481.3450499745,0.0,0.0,7.0,0.0,634,634,102,0.1608832807570978,22291574.472588938,201511.9840979548,0.009039827327842906,0.040302396819590955,0,2286,0.0,0p00,436570,medium_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5172702.956982425,5000000.0,5172702.956982419,172702.9569824189,0.0,0.0,8.0,0.0,689,689,147,0.21335268505079827,24473905.52848187,324384.6382957079,0.013254306220893124,0.06487692765914158,0,2286,0.0,0p00,436570,medium_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5225541.776873377,5000000.0,5225541.776872164,225541.77687216364,0.0,0.0,8.0,0.0,626,626,80,0.12779552715654952,21687900.546941575,163914.64150284044,0.007557884228953441,0.03278292830056809,0,2286,0.0,0p00,436570,medium_default,5000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5150053.604546983,5000000.0,5150053.604547065,150053.60454706475,0.0,0.0,13.0,0.0,818,818,250,0.3056234718826406,28689112.487073798,521602.43349040824,0.0181811979623079,0.10432048669808165,0,2286,0.0,0p00,436570,medium_default,5000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5233110.352673722,5000000.0,5233110.352674878,233110.3526748782,0.0,0.0,8.0,0.0,816,816,158,0.19362745098039216,28736754.17824565,327870.54705723183,0.011409449551036526,0.06557410941144637,0,2286,0.0,0p00,436570,medium_default,5000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5216341.690077451,5000000.0,5216341.690078043,216341.69007804338,0.0,0.0,8.0,0.0,723,723,139,0.19225449515905949,25294843.566825878,261290.1732392764,0.010329780160489223,0.05225803464785528,0,2286,0.0,0p00,436570,medium_default,5000000.0
